C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Al,Ti,Th,I,U,Ve,Strain,TCL
0.033,0.43,1.67,0.028,0.002,18.15,10.2,0.56,0.004,0.43,0.02,0,3.18,100,12,4.23,4,3.2
0.041,0.29,3.08,0.016,0.011,17.62,13.78,2.16,0.12,0.01,0.02,0,3.18,100,12,4.23,4,3.45
0.079,0.27,1.77,0.04,0.01,14.29,16.87,2.27,0.012,0.1,0.006,0.21,3.18,100,12,4.23,1,4.84
0.017,0.56,1.09,0.025,0.01,18.48,10.4,0,0.022,0,0.02,0,12,250,17,1.67,1,0.38
0.06,0.58,1.03,0.027,0.007,17.69,9.48,0,0.098,0,0.02,0.44,12,250,17,1.67,4,2.88
0.062,1.92,1.29,0.005,0.005,18.08,11.65,0.01,0.055,0,0.005,0,3.18,100,12,4.2,2.5,7.47
0.071,3.91,8.36,0.029,0.012,16.45,8.31,0,0.15,0,0.02,0,3,100,12.5,3.6,1.5,2.03
0.045,1,1.8,0.038,0.004,14.14,15.25,2.34,0.009,0,0.02,0.26,3,100,12.5,4.2,4,14.8
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,90,13,2.7,1,8.03
0.005,0.42,0.39,0.019,0.003,18.84,0.21,0,0.0055,0,0.015,0.2,4,100,10,2.5,4,2.67
0.07,0.15,0.81,0.008,0.003,20.42,32.83,0,0.017,0.04,0.47,0.44,6.5,170,14,2.55,3,11.28
0.44,1.91,0.4,0.013,0.012,26.44,20.18,0.08,0.06,0,0.02,0,12.7,330,13.5,1.69,0.25,0
0.1,0.69,0.3,0.046,0.032,20.31,10.62,2.34,0.05,0,0.02,0,12.7,310,14.5,1.69,1,3.2
0.017,0.53,1.8,0.027,0.002,18.4,11.3,0.2,0.04,0,0.02,0,6.3,180,17,2.5,5,9.76
0.061,0.22,2.57,0.003,0.019,15.04,15.18,2.57,0.0282,0.13,0.06,0.31,3.175,100,12,4,4,6.43
0.082,0.17,2.08,0.008,0.012,20.87,30.56,1.9,0.0094,0.19,0.09,0.29,3.175,100,12,4,0.25,1.11
0.02,0.33,0.33,0.017,0.007,14.7,4.7,0.38,0.035,0.2,0.02,0,6.35,180,12,2.54,2,1.98
0.027,0.54,1.1,0.023,0.001,24.9,5.4,3.1,0.17,0,0.02,0,6.4,180,17,2.53,3.1,6.24
0.017,0.54,1.9,0.024,0.001,18.6,10.7,0.21,0.04,0,0.02,0,6.4,180,17,2.53,2.1,0.47
0.053,0.65,1,0.026,0.004,25.1,19.9,0,0.017,0,0.02,0,5,70,16,1.25,0.5,3
0.024,0.2,1.48,0.004,0.003,18.81,9.35,0,0.0461,0.25,0.02,0,5,70,16,1.25,5,1.27
0.02,0.7,0.93,0.018,0.007,17.1,15.11,2.62,0.018,0,0.02,0,12,250,17,1.67,4,10.1
0.08,0.08,0.93,0.008,0.004,19.55,32.47,0,0.018,0.05,0.4,0.49,6.5,170,14,2.55,1,1.94
0.02,0.53,1.7,0.02,0.008,18.7,10.9,0.19,0.035,0,0.02,0,6.35,180,12,2.54,1,6.17
